YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST_CITY_NAME,CRS_DEP_TIME,CRS_ARR_TIME,ARR_DELAY_NEW,ARR_DEL15,CANCELLED,DISTANCE
2015,1,21,3,OO,14869,Salt Lake City   UT,14262,Palm Springs   CA,1101,1149,0,0,0,541
2015,1,6,2,OO,14869,Salt Lake City   UT,14262,Palm Springs   CA,1101,1149,0,0,0,541
2015,1,11,7,OO,13871,Omaha   NE,13487,Minneapolis   MN,915,1036,,,1,282
2015,1,26,1,OO,11292,Denver   CO,10561,Bakersfield   CA,1114,1251,,,0,845
2015,1,8,4,OO,10372,Aspen   CO,11292,Denver   CO,700,800,0,0,0,125
2015,1,2,5,OO,14771,San Francisco   CA,14908,Santa Ana   CA,1908,2038,39,1,0,372
2015,1,6,2,OO,11292,Denver   CO,13891,Ontario   CA,1122,1244,26,1,0,819
2015,1,29,4,OO,14869,Salt Lake City   UT,15041,Sun Valley/Hailey/Ketchum   ID,1116,1225,0,0,0,222
2015,1,19,1,OO,11042,Cleveland   OH,10529,Hartford   CT,1855,2026,50,1,0,476
2015,1,13,2,OO,14869,Salt Lake City   UT,15041,Sun Valley/Hailey/Ketchum   ID,2057,2155,33,1,0,222
2015,1,12,1,OO,12892,Los Angeles   CA,13796,Oakland   CA,925,1050,0,0,0,337
2015,1,6,2,OO,13487,Minneapolis   MN,13076,La Crosse   WI,1351,1444,3,0,0,119
2015,1,19,1,OO,11884,Spokane   WA,14747,Seattle   WA,1615,1722,0,0,0,224
2015,1,18,7,OO,14869,Salt Lake City   UT,12003,Great Falls   MT,2000,2138,0,0,0,463
2015,1,9,5,OO,14869,Salt Lake City   UT,12003,Great Falls   MT,2000,2140,0,0,0,463
2015,1,3,6,OO,14262,Palm Springs   CA,14869,Salt Lake City   UT,620,905,89,1,0,541
2015,1,5,1,OO,14262,Palm Springs   CA,14869,Salt Lake City   UT,620,907,0,0,0,541
2015,1,18,7,OO,13486,Missoula   MT,14869,Salt Lake City   UT,1755,1921,0,0,0,436
2015,1,27,2,OO,11292,Denver   CO,12888,Laramie   WY,1257,1348,0,0,0,113
2015,1,27,2,OO,13930,Chicago   IL,11471,Eau Claire   WI,1310,1432,0,0,0,268
2015,1,19,1,OO,13930,Chicago   IL,11471,Eau Claire   WI,1310,1432,0,0,0,268
2015,1,13,2,OO,14489,Bend/Redmond   OR,14771,San Francisco   CA,602,740,121,1,0,462
2015,1,15,4,OO,14489,Bend/Redmond   OR,14771,San Francisco   CA,602,740,0,0,0,462
2015,1,9,5,OO,10627,Bismarck/Mandan   ND,11292,Denver   CO,2032,2122,214,1,0,516
2015,1,26,1,OO,11638,Fresno   CA,12892,Los Angeles   CA,1110,1216,4,0,0,209
